8.000000, 9.997222, 4.000000
8.000000, 9.991667, 4.000000
8.000000, 9.983334, 4.000000
8.000000, 9.972222, 4.000000
8.000000, 9.958333, 4.000000
8.000000, 9.941667, 4.000000
8.000000, 9.922222, 4.000000
8.000000, 9.900000, 4.000000
8.000000, 9.875000, 4.000000
8.000000, 9.847222, 4.000000
8.000000, 9.816667, 4.000000
8.000000, 9.783333, 4.000000
8.000000, 9.747222, 4.000000
8.000000, 9.708333, 4.000000
8.000000, 9.666666, 4.000000
8.000000, 9.622222, 4.000000
8.000000, 9.575000, 4.000000
8.000000, 9.525000, 4.000000
8.000000, 9.472221, 4.000000
8.000000, 9.416666, 4.000000
8.000000, 9.358333, 4.000000
8.000000, 9.297221, 4.000000
8.000000, 9.233333, 4.000000
8.000000, 9.166666, 4.000000
8.000000, 9.097221, 4.000000
8.000000, 9.025000, 4.000000
8.000000, 8.950000, 4.000000
8.000000, 8.872222, 4.000000
8.000000, 8.791666, 4.000000
8.000000, 8.708333, 4.000000
8.000000, 8.622222, 4.000000
8.000000, 8.533333, 4.000000
8.000000, 8.441667, 4.000000
8.000000, 8.347222, 4.000000
8.000000, 8.250000, 4.000000
8.000000, 8.150000, 4.000000
8.000000, 8.047222, 4.000000
8.000000, 7.941667, 4.000000
8.000000, 7.833333, 4.000000
8.000000, 7.722222, 4.000000
8.000000, 7.608334, 4.000000
8.000000, 7.491667, 4.000000
8.000000, 7.372222, 4.000000
8.000000, 7.250000, 4.000000
8.000000, 7.125000, 4.000000
8.000000, 6.997222, 4.000000
8.000000, 6.866667, 4.000000
8.000000, 6.733334, 4.000000
8.000000, 6.597222, 4.000000
8.000000, 6.458333, 4.000000
8.000000, 6.316667, 4.000000
8.000000, 6.172223, 4.000000
8.000000, 6.025001, 4.000000
8.000000, 5.875000, 4.000000
8.000000, 5.722223, 4.000000
8.000000, 5.566667, 4.000000
8.000000, 5.408334, 4.000000
8.000000, 5.247223, 4.000000
8.000000, 5.083334, 4.000000
8.000000, 4.916667, 4.000000
7.928870, 4.997135, 4.000000
7.880560, 5.058441, 4.000002
7.832250, 5.116969, 4.000005
7.783939, 5.172719, 4.000007
7.735629, 5.225691, 4.000010
7.687319, 5.275885, 4.000012
7.639009, 5.323302, 4.000014
7.590698, 5.367940, 4.000017
7.542388, 5.409801, 4.000019
7.494078, 5.448885, 4.000021
7.445767, 5.485190, 4.000024
7.397457, 5.518718, 4.000026
7.349147, 5.549468, 4.000029
7.300837, 5.577440, 4.000031
7.252526, 5.602635, 4.000033
7.204216, 5.625051, 4.000036
7.155906, 5.644691, 4.000038
7.107595, 5.661551, 4.000041
7.059285, 5.675635, 4.000043
7.010975, 5.686940, 4.000045
6.962665, 5.695468, 4.000048
6.914354, 5.701218, 4.000050
6.866044, 5.704190, 4.000052
6.817734, 5.704385, 4.000055
6.769423, 5.701801, 4.000057
6.721113, 5.696440, 4.000060
6.672803, 5.688301, 4.000062
6.624493, 5.677384, 4.000064
6.576182, 5.663690, 4.000067
6.527872, 5.647218, 4.000069
6.479562, 5.627968, 4.000072
6.431252, 5.605940, 4.000074
6.382941, 5.581134, 4.000076
